ID,CustomerID,Date,TotalPrice,Fee,Status
OD00001,,20180111,1262,5,1
OD00002,,20180102,621,5,0
OD00003,,20180130,637,5,-1
OD00004,,20180119,2711,5,-1
OD00005,,20180125,1775,5,2
OD00006,,20180107,3586,5,1
OD00007,,20180123,1453,5,0
OD00008,,20180110,585,5,1
OD00009,,20180118,1607,5,0
OD00010,,20180126,2773,5,1
OD00011,,20180115,266,5,-1
OD00012,,20180108,1394,5,1
OD00013,,20180101,454,5,-1
OD00014,,20180108,616,5,-1
OD00015,,20180110,195,5,1
OD00016,,20180105,516,5,1
OD00017,,20180114,1235,5,2
OD00018,,20180124,1796,5,1
OD00019,,20180127,777,5,-1
OD00020,,20180107,1249,5,1
OD00021,,20180130,1546,5,-1
OD00022,,20180104,3543,5,0
OD00023,,20180114,1167,5,2
OD00024,,20180117,2369,5,1
OD00025,,20180118,1556,5,0
OD00026,,20180122,2871,5,-1
OD00027,,20180102,159,5,0
OD00028,,20180103,2882,5,0
OD00029,,20180106,1638,5,2
OD00030,,20180120,2857,5,2
OD00031,,20180106,142,5,0
OD00032,,20180107,52,5,1
OD00033,,20180115,1114,5,0
OD00034,,20180105,2265,5,0
OD00035,,20180108,132,5,0
OD00036,,20180121,279,5,1
OD00037,,20180125,2669,5,0
OD00038,,20180104,1768,5,2
OD00039,,20180124,1795,5,0
OD00040,,20180129,2000,5,1
OD00041,,20180121,5647,5,-1
OD00042,,20180113,649,5,1
OD00043,,20180124,1655,5,-1
OD00044,,20180128,230,5,1
OD00045,,20180106,1279,5,-1
OD00046,,20180129,2076,5,-1
OD00047,,20180128,1907,5,0
OD00048,,20180126,2122,5,1
OD00049,,20180121,1029,5,2
OD00050,,20180129,3279,5,0
OD00051,,20180130,116,5,-1
OD00052,,20180111,1178,5,-1
OD00053,,20180110,2690,5,1
OD00054,,20180104,2599,5,0
OD00055,,20180105,1423,5,2
OD00056,,20180102,1995,5,0
OD00057,,20180115,2146,5,1
OD00058,,20180101,521,5,-1
OD00059,,20180120,3753,5,1
OD00060,,20180118,916,5,-1
OD00061,,20180115,2417,5,1
OD00062,,20180113,257,5,1
OD00063,,20180120,1833,5,-1
OD00064,,20180125,2069,5,1
OD00065,,20180129,3160,5,0
OD00066,,20180129,1146,5,-1
OD00067,,20180106,2029,5,-1
OD00068,,20180104,1284,5,0
OD00069,,20180116,852,5,-1
OD00070,,20180118,3561,5,1
OD00071,,20180123,808,5,2
OD00072,,20180113,1623,5,0
OD00073,,20180116,287,5,1
OD00074,,20180121,243,5,0
OD00075,,20180111,3384,5,0
OD00076,,20180129,1195,5,2
OD00077,,20180122,359,5,-1
OD00078,,20180104,568,5,0
OD00079,,20180101,2069,5,2
OD00080,,20180113,429,5,2
OD00081,,20180117,298,5,-1
OD00082,,20180114,822,5,1
OD00083,,20180118,1462,5,-1
OD00084,,20180112,27,5,1
OD00085,,20180130,3275,5,2
OD00086,,20180122,2908,5,2
OD00087,,20180123,4095,5,2
OD00088,,20180126,5032,5,1
OD00089,,20180107,4207,5,0
OD00090,,20180130,475,5,-1
OD00091,,20180126,2488,5,0
OD00092,,20180106,307,5,0
OD00093,,20180111,1036,5,-1
OD00094,,20180122,994,5,2
OD00095,,20180126,2157,5,-1
OD00096,,20180112,730,5,-1
OD00097,,20180114,1095,5,0
OD00098,,20180123,209,5,2
OD00099,,20180104,1201,5,1
OD00100,,20180110,242,5,1
OD00101,,20180101,476,5,1
OD00102,,20180108,915,5,2
OD00103,,20180113,455,5,-1
OD00104,,20180130,2996,5,1
OD00105,,20180109,540,5,0
OD00106,,20180101,346,5,2
OD00107,,20180120,3935,5,0
OD00108,,20180102,3102,5,-1
OD00109,,20180115,1681,5,0
OD00110,,20180120,577,5,1
OD00111,,20180129,2171,5,-1
OD00112,,20180110,254,5,0
OD00113,,20180109,447,5,-1
OD00114,,20180123,2112,5,2
OD00115,,20180119,1996,5,0
OD00116,,20180107,1306,5,1
OD00117,,20180103,1671,5,-1
OD00118,,20180112,3130,5,2
OD00119,,20180121,873,5,0
OD00120,,20180121,4098,5,1
OD00121,,20180125,194,5,-1
OD00122,,20180103,3896,5,-1
OD00123,,20180119,2259,5,-1
OD00124,,20180113,1497,5,-1
OD00125,,20180117,126,5,-1
OD00126,,20180129,1076,5,0
OD00127,,20180103,1688,5,2
OD00128,,20180124,1250,5,0
OD00129,,20180123,3302,5,1
OD00130,,20180102,687,5,1
OD00131,,20180111,2702,5,-1
OD00132,,20180112,1954,5,-1
OD00133,,20180121,177,5,0
OD00134,,20180107,779,5,2
OD00135,,20180121,4418,5,1
OD00136,,20180127,622,5,2
OD00137,,20180104,2124,5,2
OD00138,,20180127,352,5,-1
OD00139,,20180120,116,5,-1
OD00140,,20180104,2703,5,1
OD00141,,20180101,312,5,0
OD00142,,20180130,2774,5,1
OD00143,,20180129,1399,5,0
OD00144,,20180102,1271,5,2
OD00145,,20180103,3498,5,0
OD00146,,20180109,498,5,0
OD00147,,20180103,1424,5,2
OD00148,,20180114,300,5,0
OD00149,,20180123,1098,5,2
OD00150,,20180130,12,5,1
OD00151,,20180106,3677,5,2
OD00152,,20180105,3802,5,1
OD00153,,20180107,2867,5,1
OD00154,,20180130,1079,5,-1
OD00155,,20180113,5407,5,1
OD00156,,20180109,135,5,-1
OD00157,,20180111,1775,5,0
OD00158,,20180101,3334,5,1
OD00159,,20180105,1483,5,1
OD00160,,20180130,972,5,0
OD00161,,20180116,3557,5,2
OD00162,,20180102,1340,5,0
OD00163,,20180101,1339,5,1
OD00164,,20180123,1486,5,2
OD00165,,20180115,1843,5,-1
OD00166,,20180127,212,5,0
OD00167,,20180130,3327,5,0
OD00168,,20180122,836,5,0
OD00169,,20180109,3002,5,-1
OD00170,,20180116,1255,5,0
OD00171,,20180122,1951,5,2
OD00172,,20180116,348,5,-1
OD00173,,20180103,447,5,1
OD00174,,20180127,750,5,-1
OD00175,,20180115,2239,5,0
OD00176,,20180124,1233,5,2
OD00177,,20180104,1203,5,0
OD00178,,20180109,754,5,1
OD00179,,20180122,489,5,1
OD00180,,20180111,1493,5,-1
OD00181,,20180108,360,5,2
OD00182,,20180118,643,5,-1
OD00183,,20180129,294,5,2
OD00184,,20180127,2517,5,2
OD00185,,20180101,580,5,2
OD00186,,20180116,1244,5,1
OD00187,,20180109,1449,5,-1
OD00188,,20180109,1015,5,2
OD00189,,20180105,675,5,0
OD00190,,20180114,1728,5,1
OD00191,,20180110,1060,5,0
OD00192,,20180111,896,5,2
OD00193,,20180101,958,5,1
OD00194,,20180128,1096,5,0
OD00195,,20180104,3202,5,-1
OD00196,,20180103,29,5,2
OD00197,,20180129,2598,5,2
OD00198,,20180126,2907,5,-1
OD00199,,20180112,1803,5,1
OD00200,,20180101,874,5,0
OD00201,,20180126,4686,5,2
OD00202,,20180121,4147,5,1
OD00203,,20180124,747,5,2
OD00204,,20180116,1603,5,-1
OD00205,,20180123,4747,5,-1
OD00206,,20180113,302,5,1
OD00207,,20180105,2938,5,-1
OD00208,,20180126,4797,5,0
OD00209,,20180113,463,5,2
OD00210,,20180121,2202,5,1
OD00211,,20180108,598,5,2
OD00212,,20180123,2010,5,-1
OD00213,,20180130,1438,5,2
OD00214,,20180110,2091,5,1
OD00215,,20180108,3202,5,1
OD00216,,20180127,155,5,-1
OD00217,,20180121,941,5,0
OD00218,,20180106,6300,5,1
OD00219,,20180103,83,5,-1
OD00220,,20180112,3805,5,1
OD00221,,20180108,338,5,1
OD00222,,20180109,457,5,1
OD00223,,20180121,170,5,1
OD00224,,20180120,999,5,0
OD00225,,20180107,58,5,-1
OD00226,,20180122,1137,5,1
OD00227,,20180122,2863,5,1
OD00228,,20180120,1458,5,-1
OD00229,,20180116,1258,5,1
OD00230,,20180101,886,5,-1
OD00231,,20180105,1185,5,0
OD00232,,20180120,2042,5,1
OD00233,,20180104,1484,5,0
OD00234,,20180117,90,5,2
OD00235,,20180105,644,5,2
OD00236,,20180121,663,5,0
OD00237,,20180112,1916,5,0
OD00238,,20180128,1362,5,0
OD00239,,20180115,308,5,1
OD00240,,20180108,1306,5,0
OD00241,,20180107,4861,5,-1
OD00242,,20180121,56,5,1
OD00243,,20180101,1414,5,-1
OD00244,,20180115,232,5,0
OD00245,,20180128,1023,5,-1
OD00246,,20180102,810,5,0
OD00247,,20180110,3734,5,0
OD00248,,20180109,813,5,2
OD00249,,20180108,1029,5,-1
OD00250,,20180112,1010,5,-1
OD00251,,20180108,20,5,-1
OD00252,,20180114,3654,5,1
OD00253,,20180121,1702,5,0
OD00254,,20180109,540,5,2
OD00255,,20180129,1124,5,1
OD00256,,20180104,1458,5,-1
OD00257,,20180112,2672,5,-1
OD00258,,20180111,1077,5,2
OD00259,,20180107,209,5,0
OD00260,,20180117,441,5,-1
OD00261,,20180114,988,5,-1
OD00262,,20180123,2171,5,1
OD00263,,20180103,3653,5,-1
OD00264,,20180115,700,5,1
OD00265,,20180108,1973,5,0
OD00266,,20180116,3018,5,2
OD00267,,20180125,430,5,1
